CMDLINE /home/mawenzhuo/miniconda3/envs/VSR/bin/python3.7 BasicVSR/main.py
MEM 0.546875 1668346051.1091
MEM 22.210938 1668346051.2095
MEM 67.921875 1668346051.3100
MEM 123.128906 1668346051.4104
MEM 229.628906 1668346051.5108
MEM 252.593750 1668346051.6113
MEM 266.933594 1668346051.7117
MEM 289.636719 1668346051.8122
MEM 304.421875 1668346051.9126
MEM 346.968750 1668346052.0130
MEM 370.097656 1668346052.1133
MEM 380.859375 1668346052.2135
MEM 426.109375 1668346052.3139
MEM 492.535156 1668346052.4143
MEM 557.675781 1668346052.5148
MEM 583.898438 1668346052.6153
MEM 608.757812 1668346052.7157
MEM 716.511719 1668346052.8162
MEM 774.937500 1668346052.9165
MEM 841.527344 1668346053.0170
MEM 1018.621094 1668346053.1173
MEM 1143.804688 1668346053.2176
MEM 1308.710938 1668346053.3180
MEM 1471.437500 1668346053.4183
MEM 1645.417969 1668346053.5187
MEM 1816.687500 1668346053.6191
MEM 1943.781250 1668346053.7195
MEM 2072.171875 1668346053.8198
MEM 2203.125000 1668346053.9202
MEM 2326.437500 1668346054.0206
MEM 2447.941406 1668346054.1211
MEM 2561.937500 1668346054.2215
MEM 2679.734375 1668346054.3218
MEM 2813.378906 1668346054.4223
MEM 2939.066406 1668346054.5227
MEM 3065.101562 1668346054.6231
MEM 3193.246094 1668346054.7236
MEM 3308.105469 1668346054.8240
MEM 3445.617188 1668346054.9244
MEM 3578.707031 1668346055.0248
MEM 3705.523438 1668346055.1252
MEM 3822.621094 1668346055.2256
MEM 3934.929688 1668346055.3260
MEM 4053.164062 1668346055.4264
MEM 4183.175781 1668346055.5269
MEM 4319.707031 1668346055.6273
MEM 4446.292969 1668346055.7277
MEM 4574.730469 1668346055.8281
MEM 4708.753906 1668346055.9285
MEM 4838.968750 1668346056.0289
MEM 4974.269531 1668346056.1293
MEM 5096.398438 1668346056.2298
MEM 5222.246094 1668346056.3302
MEM 5354.636719 1668346056.4306
MEM 5520.832031 1668346056.5310
MEM 5579.421875 1668346056.6314
MEM 5676.691406 1668346056.7319
MEM 5832.996094 1668346056.8325
MEM 5915.195312 1668346056.9331
MEM 5987.722656 1668346057.0336
MEM 6142.906250 1668346057.1341
MEM 6233.308594 1668346057.2345
MEM 6303.375000 1668346057.3349
MEM 6430.984375 1668346057.4353
MEM 6620.410156 1668346057.5358
MEM 6756.203125 1668346057.6362
MEM 6817.734375 1668346057.7366
MEM 6939.296875 1668346057.8371
MEM 7121.257812 1668346057.9374
MEM 7162.617188 1668346058.0378
MEM 7275.902344 1668346058.1383
MEM 7402.078125 1668346058.2388
MEM 7582.125000 1668346058.3393
MEM 7692.375000 1668346058.4397
MEM 7794.527344 1668346058.5401
MEM 7924.347656 1668346058.6405
MEM 8065.074219 1668346058.7410
MEM 8215.566406 1668346058.8416
MEM 8370.257812 1668346058.9421
MEM 8524.132812 1668346059.0429
MEM 8600.558594 1668346059.1432
MEM 8715.367188 1668346059.2437
MEM 8830.945312 1668346059.3441
MEM 8949.648438 1668346059.4450
MEM 9066.218750 1668346059.5454
MEM 9171.460938 1668346059.6458
MEM 9243.175781 1668346059.7462
MEM 9339.136719 1668346059.8467
MEM 9442.617188 1668346059.9472
MEM 9531.914062 1668346060.0476
MEM 9638.433594 1668346060.1480
MEM 9752.222656 1668346060.2484
MEM 9863.761719 1668346060.3492
MEM 9943.179688 1668346060.4496
MEM 10018.039062 1668346060.5500
MEM 10114.570312 1668346060.6505
MEM 10223.312500 1668346060.7509
MEM 10333.597656 1668346060.8512
MEM 10442.585938 1668346060.9516
MEM 10551.093750 1668346061.0520
MEM 10661.125000 1668346061.1525
MEM 10787.347656 1668346061.2529
MEM 10694.878906 1668346061.3534
MEM 10714.628906 1668346061.4537
MEM 0.000000 1668346061.5541
MEM 0.000000 1668346061.6545
MEM 0.000000 1668346061.7549
MEM 0.000000 1668346061.8554
